month_year,size
2021-05-01,16.3
2021-06-01,44.4
2021-07-01,37.6
2021-08-01,293.5
2021-09-01,130.2
2021-10-01,95.2
2021-11-01,198.8
2021-12-01,146.7
2022-01-01,318.4
2022-02-01,120.8
2022-03-01,242.1
2022-04-01,225.4
2022-05-01,210.8
2022-06-01,70.9
2022-07-01,41.6
2022-08-01,48.2
2022-09-01,27.0
2022-10-01,24.7
